Date,Open,High,Low,Close,Volume
2012-05-04,655.5492,667.5996,648.9996,651.9996,347760
2012-05-03,658.4994,664.4496,648.0996,660.9492,236976
2012-05-02,671.8992,673.4994,656.5494,658.8996,269412
2012-04-30,674.9994,678.9996,666.7992,671.3994,202800
2012-04-27,673.9992,673.9992,658.2492,662.2992,437700
2012-04-26,682.0494,687.9492,655.4994,661.5492,579733
2012-04-25,697.9992,697.9992,681.9492,686.2992,304956
2012-04-24,683.9994,700.4496,672.9492,687.2994,1150885
2012-04-23,696.4992,697.5492,671.1492,674.3496,154488
2012-04-20,692.1492,709.8996,684.9996,695.4492,1192273
2012-04-19,703.1496,705.9996,692.0496,694.3494,209304
2012-04-18,692.1996,699.9996,691.3494,697.7994,401700
2012-04-17,674.9994,689.0496,673.9992,686.1492,399504
2012-04-16,679.4496,682.9992,672.4992,677.2494,112440
2012-04-13,682.8996,691.4496,671.7492,675.4494,354108
2012-04-12,673.6992,680.9496,666.7992,679.5492,156540
2012-04-11,660.9996,684.9996,660.9996,669.3492,281868
2012-04-10,683.2494,683.2494,653.2992,667.1496,229704
2012-04-09,693.9996,693.9996,675.9996,680.9994,222936
2012-04-04,704.9994,704.9994,692.6496,697.0494,361212
2012-04-03,688.0494,707.4492,684.9996,704.7492,737545
2012-04-02,690.9996,698.4996,680.9994,689.5494,487788
2012-03-30,685.2996,702.1992,685.2996,699.2994,886429
2012-03-29,667.4994,687.4992,665.5494,683.8494,242652
2012-03-28,664.9992,670.2996,664.9992,667.7496,295056
2012-03-27,674.8992,675.7992,660.9996,666.2496,150420
2012-03-26,682.9992,686.4492,662.0994,664.7994,284508
2012-03-23,678.1992,689.3994,666.9492,681.3492,342780
2012-03-22,697.9992,699.9996,670.1496,679.9494,411312
2012-03-21,685.8996,701.9994,676.3494,695.3994,850921
2012-03-20,670.0992,691.9494,666.9996,685.3494,818557
2012-03-19,666.9996,669.7992,654.9996,665.3496,530293
2012-03-16,673.8996,681.9996,660.9996,664.2492,854377
2012-03-15,681.2496,682.9992,661.9992,666.1992,342348
2012-03-14,670.2492,687.9996,667.4994,681.2496,703393
2012-03-13,666.9996,674.9994,663.5496,667.1994,184272
2012-03-12,675.8994,675.8994,656.2992,663.0492,217944
2012-03-09,659.9994,665.9994,648.8994,664.1994,461460
2012-03-07,660.9996,665.9994,649.1994,659.5494,592849
2012-03-06,669.8994,679.4994,660.9996,668.6496,666133
